Date,y_true,Arima,SVR,LSTM,RF,ANN,Arima + LSTM,Arima + ANN,Arima + SVR,Arima + RF,,,,,,,,,,,,,,,,,,,,
9/10/2018,43.07408776,40.09603952,37.60980346,40.70137495,38.82982204,45.54538665,47.24869608,43.12898768,41.55829441,51.61510733,-10.87205961,-5.320970496,-10.01826579,-10.01098933,-9.598725176,-10.39617043,-10.87153846,-10.83992126,-9.996799098,-10.25240473,-7.06%,-3.66%,-6.79%,-6.64%,-6.47%,-6.67%,-6.88%,-7.04%,-6.60%,-6.33%
9/17/2018,41.67443828,40.47267869,36.45381132,39.57019701,37.76666636,44.34510952,45.95140474,41.81297773,40.40296282,50.58004617,-1.399649476,0.376639168,-1.155992138,-1.131177938,-1.063155677,-1.200277127,-1.297291339,-1.316009951,-1.155331591,-1.03506116,-0.98%,0.27%,-0.84%,-0.80%,-0.77%,-0.82%,-0.88%,-0.92%,-0.82%,-0.68%
9/24/2018,43.02583897,43.03228913,37.99322425,41.13111533,39.31799427,45.90263256,47.53101801,43.37550704,41.87499564,52.41714719,1.351400689,2.559610448,1.539412928,1.560918316,1.551327908,1.557523041,1.579613276,1.562529314,1.472032816,1.837101014,0.95%,1.82%,1.13%,1.12%,1.13%,1.08%,1.08%,1.10%,1.05%,1.22%
10/1/2018,54.94134809,50.68437605,49.24396212,52.41965793,50.17653529,57.57404639,59.65386986,55.41831584,53.09406688,64.21785204,11.91550912,7.652086916,11.25073787,11.2885426,10.85854102,11.67141383,12.12285185,12.0428088,11.21907124,11.80070485,8.33%,5.35%,8.15%,8.00%,7.79%,8.00%,8.22%,8.40%,7.91%,7.74%
10/8/2018,78.86471295,61.62047984,71.2949057,74.41405325,71.25225454,80.4048134,83.58629608,79.33062066,75.01693689,86.69566597,23.92336486,10.93610379,22.05094358,21.99439532,21.07571925,22.830767,23.93242622,23.91230482,21.92287001,22.47781393,15.44%,7.26%,14.78%,14.43%,14.03%,14.49%,14.99%,15.39%,14.32%,13.69%
10/15/2018,73.96626619,58.64852255,66.70442884,69.81736182,66.8319691,75.64686275,78.62887043,74.39481012,70.44539547,81.92177308,-4.898446764,-2.971957288,-4.590476868,-4.596691431,-4.420285442,-4.757950648,-4.957425649,-4.93581054,-4.57154142,-4.773892894,-2.74%,-1.84%,-2.68%,-2.64%,-2.58%,-2.64%,-2.70%,-2.75%,-2.61%,-2.56%
10/22/2018,85.21504364,62.98194865,77.03878634,80.04944717,76.60986818,86.25669759,89.86322923,85.71573293,80.5802371,92.28154988,11.24877745,4.333426098,10.3343575,10.23208535,9.777899083,10.60983485,11.2343588,11.32092281,10.13484163,10.3597768,6.47%,2.73%,6.20%,6.03%,5.86%,6.04%,6.29%,6.49%,5.95%,5.69%
10/29/2018,73.66071429,54.56588542,65.85635371,68.89160676,65.83857461,74.79818541,77.88691551,73.72236479,69.65080157,80.48298317,-11.55432935,-8.416063223,-11.18243263,-11.15784041,-10.77129357,-11.45851218,-11.97631372,-11.99336814,-10.92943553,-11.79856671,-6.24%,-5.16%,-6.32%,-6.20%,-6.10%,-6.15%,-6.31%,-6.46%,-6.05%,-6.14%
11/5/2018,67.73647934,53.38757362,60.50772519,62.40408588,59.26058884,65.54483397,78.00589677,74.44660095,66.93813691,77.86883063,-5.92423495,-1.178311808,-5.348628511,-6.487520877,-6.577985771,-9.253351439,0.118981258,0.724236159,-2.712664663,-2.614152533,-3.41%,-0.76%,-3.22%,-3.84%,-3.97%,-5.29%,0.07%,0.42%,-1.60%,-1.45%
11/19/2018,65.29615417,58.60127325,58.95002565,61.09565761,57.74124403,63.58608678,82.1224267,72.97044891,66.90801825,80.03552649,-2.440325165,5.213699632,-1.557699549,-1.308428268,-1.519344804,-1.95874719,4.116529931,-1.476152045,-0.030118654,2.166695857,-1.45%,3.40%,-0.97%,-0.81%,-0.95%,-1.18%,2.31%,-0.85%,-0.02%,1.22%
11/26/2018,68.63082295,55.21230973,61.19907744,63.04482597,59.94085303,66.33356234,79.47227421,75.15048802,67.27404691,78.50439489,3.334668771,-3.388963519,2.249051792,1.949168359,2.199608993,2.747475558,-2.650152487,2.180039117,0.366028653,-1.531131594,2.02%,-2.14%,1.41%,1.21%,1.39%,1.68%,-1.46%,1.26%,0.22%,-0.85%
12/3/2018,66.04411386,64.15437081,59.86412895,62.08617711,58.65474044,64.44048922,88.12917291,74.01722226,68.2368987,82.81518269,-2.586709089,8.942061082,-1.334948491,-0.95864886,-1.286112584,-1.893073114,8.656898696,-1.133265764,0.962851796,4.310787792,-1.53%,5.76%,-0.83%,-0.59%,-0.80%,-1.14%,4.82%,-0.65%,0.58%,2.41%
12/10/2018,65.21985699,60.1012515,59.37713942,61.69819347,58.18178943,63.80105477,83.51705802,73.57275491,68.35979647,82.11547016,-0.82425687,-4.053119311,-0.486989522,-0.387983648,-0.472951014,-0.639434457,-4.61211489,-0.444467343,0.122897774,-0.699712526,-0.50%,-2.47%,-0.30%,-0.24%,-0.30%,-0.39%,-2.45%,-0.26%,0.07%,-0.38%
12/17/2018,60.5304718,71.80123342,56.48597941,59.32848091,55.3674476,60.09282027,93.50122597,70.88026522,68.71309078,87.18807577,-4.689385188,11.69998192,-2.891160017,-2.369712554,-2.814341829,-3.708234498,9.984167947,-2.692489694,0.353294304,5.072605612,-2.84%,7.31%,-1.81%,-1.47%,-1.78%,-2.26%,5.44%,-1.55%,0.21%,2.79%
12/24/2018,62.48276871,71.15876252,57.96445413,60.68669411,56.82100733,61.79616422,93.00652414,72.37575177,69.39215884,87.1741715,1.952296915,-0.642470902,1.478474723,1.358213197,1.453559726,1.703343949,-0.494701825,1.495486549,0.679068057,-0.013904278,1.22%,-0.37%,0.94%,0.85%,0.94%,1.06%,-0.26%,0.88%,0.40%,-0.01%
12/31/2018,64.20871004,61.51125949,59.31430548,61.94624119,58.15000326,63.32634842,84.01624592,73.75688122,70.14826723,84.92060834,1.725941327,-9.647503025,1.349851346,1.259547085,1.328995932,1.530184198,-8.990278222,1.381129452,0.756108397,-2.253563157,1.06%,-5.64%,0.85%,0.78%,0.85%,0.95%,-4.66%,0.80%,0.45%,-1.20%
1/7/2019,66.14007641,57.2289381,60.49006353,62.89997283,59.29358769,64.846006,80.66494334,74.84387034,69.93437008,82.87692187,1.931366375,-4.282321389,1.175758058,0.953731636,1.143584435,1.519657584,-3.351302576,1.086989117,-0.213897158,-2.043686464,1.18%,-2.65%,0.74%,0.59%,0.72%,0.93%,-1.82%,0.63%,-0.13%,-1.11%
1/14/2019,67.91034355,58.35195953,61.52605979,63.71871258,60.29909275,66.21419671,82.56234396,75.78408641,69.62036896,82.29803563,1.770267134,1.123021424,1.035996256,0.818739745,1.005505055,1.368190707,1.89740062,0.940216071,-0.314001114,-0.578886246,1.07%,0.71%,0.65%,0.50%,0.63%,0.83%,1.05%,0.54%,-0.18%,-0.32%
1/21/2019,68.12698266,57.46386502,61.83259341,64.06325228,60.60661198,66.48527836,81.58128601,76.14508144,70.14563567,82.57015894,0.216639116,-0.888094506,0.306533616,0.344539701,0.307519232,0.271081649,-0.981057957,0.360995029,0.525266711,0.272123311,0.13%,-0.56%,0.19%,0.21%,0.19%,0.16%,-0.54%,0.21%,0.31%,0.15%
1/28/2019,69.53844365,55.65661774,62.8833245,65.02225594,61.63898504,67.70532504,80.08871028,77.2027477,70.60940122,82.15032781,1.411460984,-1.807247283,1.050731095,0.959003658,1.032373058,1.220046678,-1.492575729,1.057666261,0.463765546,-0.419831129,0.84%,-1.15%,0.65%,0.58%,0.64%,0.73%,-0.82%,0.60%,0.27%,-0.23%
2/4/2019,70.00464752,54.82293682,63.36993239,65.52859694,62.12318257,68.18883678,79.0836298,77.7429391,71.1954353,82.42671989,0.46620387,-0.833680917,0.486607884,0.506341003,0.484197529,0.483511746,-1.005080481,0.540191398,0.586034079,0.276392075,0.28%,-0.54%,0.30%,0.31%,0.30%,0.29%,-0.56%,0.30%,0.34%,0.15%
2/11/2019,71.85869854,54.61183372,64.53411434,66.4952613,63.25762641,69.66656011,79.70589824,78.83714858,71.13951432,81.74419769,1.854051023,-0.211103101,1.164181951,0.966664364,1.134443848,1.477723331,0.622268444,1.094209487,-0.055920982,-0.682522198,1.09%,-0.14%,0.71%,0.58%,0.70%,0.88%,0.35%,0.62%,-0.03%,-0.37%
2/18/2019,72.46176696,66.71335515,64.08522366,65.95742249,63.35603597,69.2726883,97.18805119,78.32074065,70.88893545,84.00207585,0.603068422,12.10152143,-0.448890673,-0.537838813,0.098409554,-0.393871811,17.48215295,-0.516407933,-0.250578869,2.257878158,0.35%,7.83%,-0.27%,-0.32%,0.06%,-0.23%,9.73%,-0.29%,-0.15%,1.24%
3/4/2019,77.70713275,66.03437511,69.97069662,72.17478221,69.91027817,75.4866761,106.8583837,85.4721068,77.02749595,90.91638475,5.245365791,-0.678980041,5.88547296,6.217359722,6.554242202,6.213987801,9.670332512,7.151366148,6.1385605,6.914308903,3.04%,-0.41%,3.59%,3.75%,4.01%,3.67%,4.90%,4.01%,3.59%,3.76%
3/11/2019,72.49207429,67.56736834,63.99125418,65.7007564,63.08403865,69.86589033,96.39377537,78.00774677,70.74076941,83.78812065,-5.215058467,1.532993232,-5.979442447,-6.474025809,-6.826239521,-5.620785772,-10.46460833,-7.464360025,-6.286726533,-7.128264095,-2.93%,0.92%,-3.52%,-3.76%,-4.02%,-3.20%,-5.06%,-4.02%,-3.55%,-3.73%
3/18/2019,83.09053988,69.34954229,75.22364704,77.77254873,75.38831901,79.61953327,114.0961269,91.48707919,82.5800229,96.96610383,10.59846559,1.782173945,11.23239286,12.07179233,12.30428036,9.753642937,17.70235152,13.47933242,11.83925349,13.17798318,6.14%,1.06%,6.85%,7.29%,7.54%,5.74%,9.01%,7.57%,6.93%,7.17%
3/25/2019,76.73291158,68.9257401,68.2448108,70.15050919,67.55287069,74.6058011,102.6997451,82.91033154,75.09460884,88.60933014,-6.357628298,-0.423802191,-6.978836237,-7.62203954,-7.835448318,-5.013732166,-11.39638182,-8.576747646,-7.485414062,-8.356773691,-3.47%,-0.25%,-3.98%,-4.29%,-4.47%,-2.79%,-5.32%,-4.48%,-4.10%,-4.24%
4/1/2019,76.22318665,70.45333454,67.61445368,69.53752524,66.81929108,72.18005985,100.9449597,82.09681395,74.64454768,87.99233219,-0.509724933,1.527594441,-0.630357121,-0.612983946,-0.733579608,-2.425741248,-1.754785415,-0.813517592,-0.450061161,-0.616997952,-0.29%,0.90%,-0.37%,-0.36%,-0.44%,-1.39%,-0.87%,-0.44%,-0.26%,-0.33%
4/8/2019,74.27793913,70.5203668,65.59778388,67.33070451,64.59445799,70.12488414,97.44941453,79.64254406,72.58000126,85.66189848,-1.945247514,0.067032261,-2.016669798,-2.206820731,-2.22483309,-2.055175717,-3.495545129,-2.454269889,-2.064546415,-2.330433713,-1.10%,0.04%,-1.20%,-1.30%,-1.33%,-1.19%,-1.74%,-1.35%,-1.18%,-1.24%
4/15/2019,74.1944947,70.23101567,65.48024852,67.23470498,64.47892226,70.19414145,97.48150747,79.52764112,72.41793666,85.50312547,-0.08344443,-0.289351125,-0.117535363,-0.095999533,-0.115535736,0.069257312,0.032092945,-0.114902938,-0.162064604,-0.158773012,-0.05%,-0.17%,-0.07%,-0.06%,-0.07%,0.04%,0.02%,-0.06%,-0.09%,-0.09%
4/22/2019,77.64243652,72.39627414,68.60111386,70.70138939,67.71699085,72.72859593,102.2907603,83.13392767,75.62108417,89.01908925,3.447941816,2.165258463,3.120865349,3.466684408,3.238068596,2.534454486,4.809252795,3.60628655,3.203147509,3.515963781,1.98%,1.27%,1.89%,2.07%,1.97%,1.49%,2.44%,2.01%,1.86%,1.90%
4/29/2019,78.24049474,72.69885268,69.04588387,71.30234799,68.19557708,72.75164112,103.2293099,83.6929301,76.06885569,89.51794421,0.598058219,0.302578545,0.444770005,0.600958607,0.478586223,0.023045182,0.93854966,0.559002429,0.447771525,0.498854959,0.34%,0.18%,0.26%,0.35%,0.29%,0.01%,0.46%,0.31%,0.26%,0.26%
5/6/2019,86.44746936,72.74024782,77.84233586,80.83661099,77.9461906,80.70776248,117.78697,94.39164353,85.28257785,99.84846073,8.206974621,0.041395135,8.796451993,9.534263002,9.750613521,7.95612136,14.55766009,10.69871342,9.21372216,10.33051652,4.60%,0.02%,5.20%,5.57%,5.80%,4.61%,7.16%,5.82%,5.23%,5.45%
5/13/2019,85.51760563,71.8374771,77.23671833,80.0013008,77.34512621,80.75086875,116.5979917,93.67476974,84.68391882,99.20056054,-0.929863731,-0.902770718,-0.605617537,-0.835310191,-0.601064388,0.043106271,-1.18897834,-0.716873791,-0.598659029,-0.647900191,-0.50%,-0.52%,-0.34%,-0.46%,-0.34%,0.02%,-0.55%,-0.37%,-0.32%,-0.32%
5/20/2019,83.89437174,70.62925875,75.44641355,78.04950297,75.36611378,80.69147398,114.3598843,91.53038869,82.59462314,96.95647072,-1.623233883,-1.208218348,-1.790304776,-1.951797836,-1.979012426,-0.059394772,-2.23810737,-2.144381049,-2.08929568,-2.244089821,-0.88%,-0.70%,-1.01%,-1.08%,-1.12%,-0.03%,-1.03%,-1.11%,-1.13%,-1.13%
5/27/2019,88.74081331,69.62426615,80.48486206,83.51086922,80.93347255,87.36607692,123.7117171,97.68466618,87.5681365,102.6591903,4.846441563,-1.004992599,5.038448509,5.461366248,5.567358764,6.67460294,9.351832832,6.154277495,4.973513361,5.702719602,2.64%,-0.59%,2.87%,3.07%,3.17%,3.69%,4.36%,3.21%,2.72%,2.90%
6/3/2019,87.76971837,73.95089521,76.36684215,80.90473135,82.22089435,80.06244753,135.2197955,100.0362751,85.14591767,101.5519649,-0.971094935,4.326629058,-4.118019909,-2.606137867,1.287421799,-7.303629386,11.50807835,2.351608916,-2.422218827,-1.107225457,-0.51%,2.55%,-2.28%,-1.42%,0.71%,-3.90%,5.14%,1.19%,-1.29%,-0.55%
6/17/2019,90.87653873,75.96254706,79.12132992,83.59417053,85.40772942,82.88829345,139.1491339,102.8966082,88.15163289,104.2600743,3.106820359,2.01165185,2.754487773,2.689439186,3.186835074,2.825845925,3.929338405,2.86033313,3.005715215,2.708109442,1.65%,1.16%,1.56%,1.49%,1.75%,1.57%,1.67%,1.43%,1.62%,1.34%
6/24/2019,90.53595687,74.38190735,78.75487125,83.27189983,84.69355762,82.50877087,139.0782338,102.5723378,87.72185697,103.2299484,-0.340581857,-1.580639714,-0.366458679,-0.322270701,-0.714171803,-0.37952258,-0.07090008,-0.324270411,-0.429775925,-1.030125882,-0.18%,-0.90%,-0.20%,-0.18%,-0.39%,-0.21%,-0.03%,-0.16%,-0.23%,-0.50%
7/1/2019,90.78965899,67.11769522,80.58935797,84.98976544,85.79354022,84.39814603,140.0234513,101.7755218,89.78531221,100.4656262,0.253702119,-7.264212125,1.834486724,1.717865605,1.099982599,1.889375154,0.945217455,-0.796815974,2.063455245,-2.764322196,0.13%,-4.17%,1.03%,0.94%,0.60%,1.04%,0.40%,-0.39%,1.10%,-1.36%
7/8/2019,91.61428757,63.01777198,81.27397087,85.60629166,86.08459806,85.10571744,142.0040584,101.9862628,90.57612911,98.61823751,0.824628578,-4.099923243,0.684612902,0.616526224,0.291057842,0.707571417,1.980607138,0.210741007,0.7908169,-1.847388721,0.43%,-2.45%,0.38%,0.33%,0.16%,0.38%,0.83%,0.10%,0.42%,-0.92%
