Date,y_true,Arima,LSTM,ANN,SVR,Arima + LSTM,Arima + ANN,Arima + SVR,return,Arima_return,LSTM_return,ANN_return,SVR_return,Arima + LSTM_return,Arima + ANN_return,Arima + SVR_return
11/26/2018,141.3500061,142.1699982,138.4424773,136.5955173,138.5115964,142.7323377,143.1246802,138.8177881,6.220001221,0,-3.020253434,-4.6036517,-2.181816377,-4.92704463,4.215547502,-2.937395367
12/3/2018,134.8999939,142.1699982,140.1089154,142.565425,139.9666441,136.9216104,135.5686145,141.6115641,-6.450012207,0,1.666438097,5.969907698,1.455047654,-5.810727358,-7.556065738,2.793776044
12/10/2018,133.1199951,142.1699982,138.0540435,135.2509201,138.4032717,135.0432367,134.9931335,136.5287707,-1.779998779,0,-2.054871856,-7.314504887,-1.563372429,-1.878373623,-0.575480938,-5.082793445
12/17/2018,123.4899979,133.1199951,135.1924434,136.2732101,136.544303,125.1624761,122.4562187,126.152526,-9.629997253,-9.050003052,-2.861600087,1.022289949,-1.858968699,-9.88076067,-12.53691483,-10.37624462
12/24/2018,126.4300003,133.1199951,127.9462025,125.2341539,131.5875917,127.2174826,124.387579,126.5857805,2.940002441,0,-7.246240872,-11.03905612,-4.956711302,2.055006504,1.931360245,0.433254435
12/31/2018,128.8999939,133.1199951,126.8089366,127.7198209,130.3542199,131.0575182,127.9227419,129.7947816,2.469993591,0,-1.13726594,2.485666989,-1.233371758,3.840035677,3.535162926,3.20900111
1/7/2019,132.8399963,133.1199951,126.8812927,127.0573148,129.4437529,133.4358608,131.4535515,130.4091645,3.940002441,0,0.072356107,-0.662506181,-0.910467013,2.378342569,3.530809641,0.614382917
1/14/2019,136.6499939,133.1199951,132.3660709,133.3511152,132.3569826,137.016645,133.5506423,133.1686806,3.809997559,0,5.484778154,6.293800436,2.913229734,3.580784142,2.097090781,2.759516112
1/21/2019,136.4700012,136.6499939,137.7245886,135.6322033,134.5107689,139.4204056,135.8040863,139.4333922,-0.179992676,3.529998779,5.358517708,2.281088121,2.153786293,2.403760672,2.253444016,6.264711575
1/28/2019,138.7299957,136.6499939,138.8912908,135.7917694,136.3657181,139.6872082,138.4330988,135.9276351,2.259994507,0,1.166702256,0.159566053,1.854949165,0.266802549,2.629012465,-3.505757065
2/4/2019,138.9700012,136.6499939,140.397761,138.8370735,138.4940669,137.7265455,138.6436871,137.9950907,0.240005493,0,1.506470128,3.04530418,2.128348852,-1.960662723,0.210588336,2.067455539
2/11/2019,142.7400055,136.6499939,140.9884152,139.4455652,139.132544,140.7375526,139.9097064,137.3813059,3.770004272,0,0.590654191,0.60849163,0.638477083,3.01100719,1.266019225,-0.613784819
2/18/2019,143.7700043,136.6499939,141.8663877,142.3370388,142.0569159,142.1001539,141.4270806,139.3617152,1.029998779,0,0.87797258,2.891473655,2.924371877,1.36260128,1.517374277,1.980409307
2/25/2019,144.4199982,143.7700043,143.3656303,142.9262064,143.0784733,148.2453766,142.748982,144.7586408,0.649993896,7.120010376,1.499242531,0.589167602,1.021557394,6.145222664,1.321901321,5.396925614
3/4/2019,140.9900055,143.7700043,144.2197331,143.9033987,144.6735768,144.788157,141.6405692,144.1404836,-3.429992676,0,0.854102837,0.97719227,1.595103532,-3.457219601,-1.108412743,-0.618157166
3/11/2019,145.0099945,143.7700043,142.8870279,141.2853634,142.3327531,145.0534819,144.0909437,143.4479649,4.019989014,0,-1.332705151,-2.618035342,-2.340823768,0.26532495,2.450374484,-0.692518723
3/18/2019,143.5599976,143.7700043,143.8447632,145.7871023,144.0378444,143.6223103,143.5916103,146.2109674,-1.449996948,0,0.957735224,4.501738977,1.705091316,-1.431171626,-0.499333352,2.763002485
3/25/2019,144.7100067,143.7700043,144.3431336,143.3958573,142.9671751,143.761344,144.8215082,143.2007571,1.150009155,0,0.498370455,-2.391245018,-1.070669272,0.139033735,1.229897827,-3.010210319
